Region,ServiceProvider,RouteNumbers,RouteDescription,CompanyDate,EffectiveDates,DistributionList
Newcastle,CDC Wallsend,275,Toronto               -    Wangi    AND   Morriset,,29-Jan-18,
Newcastle,CDC Wallsend,276,Toronto               -     Awaba,,29-Jan-18,
Newcastle,CDC Wallsend,278,Morriset               -   Morriset  Peninsular ,,29-Jan-18,
Newcastle,CDC Wallsend,279,Morriset               -   Morriset  Peninsular ,,29-Jan-18,
Newcastle,CDC Wallsend,280,Morriset               -   Sandy  Creek   Cooranbong,,29-Jan-18,
Newcastle,CDC Wallsend,281,Wangi                   -   Lake   Haven   Sc,,29-Jan-18,
Newcastle,CDC Wallsend,,Wallsend    Transport   Guide,,10-Sep-17,
Newcastle,Sid Foggs,,Newcastle  -  Dubbo,,NO  DATE,
Newcastle,Central Coast Ferries,,Woy  Woy  Empire   Bay,,1-Jan-18,
Newcastle,Port Stephens Ferries,,Port  Stephens   -  Tea  Gardens,,2018,
